Page & Line,Quote,Author_or_coder_name,Coding date,UNIT_ID_i,Code_j,Stand,Role,Tone
 Page # 1 - Starting line # 3,"if I were the boy and I'd done the stabbing and everything, I'd take a chance and go back for the knife","Gonzalez Canche, Manuel S",31/08/2021,Actor_1,if_guilty_would_take_chances,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 4,"he figured that nobody had seen him running out, and that the body wouldn't be discovered until the next day","Gonzalez Canche, Manuel S",31/08/2021,Actor_1,guilty_assumed_noone_saw_him,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 6,it was the middle of the night. I bet he'd figured nobody would find the body until the next day,"Gonzalez Canche, Manuel S",31/08/2021,Actor_1,guilty_late_noone’d_find_body,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 8,"my whole point the woman across the street testified that the moment after she saw the killing, that is a moment after the train went, by she screamed and then went to telephone the police. ","Gonzalez Canche, Manuel S",31/08/2021,Actor_2,unfeasible_woman_screamed,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 10,"the boy certainly must have heard the scream, so he knew that somebody saw something. I just don't think that he would have gone back.","Gonzalez Canche, Manuel S",31/08/2021,Actor_2,unfeasible_boy_may_have_heard,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 12,in his state of panic he may not have heard the scream,"Gonzalez Canche, Manuel S",31/08/2021,Actor_3,guilty_panic_state_not_heard,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 13,"if he did hear it, he may not have connected it with his own acts. Remember, he lived in a neighborhood where screams were fairly commonplace","Gonzalez Canche, Manuel S",31/08/2021,Actor_3,if_heard_perhaps_assumed_unrelated,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 14,he lived in a neighborhood where screams were fairly commonplace,"Gonzalez Canche, Manuel S",31/08/2021,Actor_3,dangerous_neighborhood,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 16,maybe the boy did kill his father,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,may’ve_killed,Not Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 16,"Maybe he did hear the scream, did run out in a panic, did calm down three hours later, and came back to get the knife risking being caught by the police.","Gonzalez Canche, Manuel S",31/08/2021,Actor_4,may’ve_heard_panic_come_back,Not Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 18,"Maybe all of those things happen, but maybe they didn't","Gonzalez Canche, Manuel S",31/08/2021,Actor_4,maybe_didnt_happen,Not Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 18,there's enough doubt that we can wonder whether he was there at all during the time of killing took place,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,there_is_enough_doubt,Not Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 20,What do you mean Dell [Actor 4]? What are you talking about?,"Gonzalez Canche, Manuel S",31/08/2021,Actor_5,what_do_you_mean/talk_about?,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 20,Didn't the old man see him running out of the house? ,"Gonzalez Canche, Manuel S",31/08/2021,Actor_5,old_man_saw_him,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 21,he's [Actor 4] twisting the facts I'm telling you,"Gonzalez Canche, Manuel S",31/08/2021,Actor_5,twisting_facts,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 22,"didn't the old man see the kid running out of the house at 12.10? Well, did or didn't he?","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,old_man_saw_him,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 23,He says he did,"Gonzalez Canche, Manuel S",31/08/2021,Actor_2,old_man_”SAYS”_he_did,Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 24,"“Says he did.” Boy, how do you like that? ","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,old_man_”SAYS”_he_did,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 25,"Now look, witnesses can make mistakes","Gonzalez Canche, Manuel S",31/08/2021,Actor_6,witnesses_can_make_mistakes,Not Guilty,Juror,Not aggressive
 Page # 1 - Starting line # 26,"Sure, when you [Actor 6] want them to, they do it. When he [Actor 4] wants them to they do. Do you [Actor 8] know what I mean?","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,witness_are_wrong_when_you_want_them,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 28,Let’s keep the yelling down,"Gonzalez Canche, Manuel S",31/08/2021,Actor_7, keep_the_yelling_down,Guilty,Foreman,Firm
 Page # 1 - Starting line # 29,". Oh, you keep saying that, maybe what we need is a little yelling in here","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,maybe_we_need_yelling_here,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 29,"These guys keep going off every which way. Did hear the scream, didn't hear the scream.","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,jurors_go_off_every_which_way,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 30,"What difference does that make? You people are talking only about the little details, you are forgetting the important stuff. I mean all of a sudden everybody here…","Gonzalez Canche, Manuel S",31/08/2021,Actor_5,little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 1 - Starting line # 33,I want to call for another vote,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,want_to_call_another_vote,Not Guilty,Juror,Firm
 Page # 1 - Starting line # 34,I'm talking here ,"Gonzalez Canche, Manuel S",31/08/2021,Actor_5, I'm_talking_here,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 1,"Another vote has been called for, now let's take our seats","Gonzalez Canche, Manuel S",31/08/2021,Actor_7,time_to_vote_take_seats,Guilty,Foreman,Firm
 Page # 2 - Starting line # 2,I have never saw so much time spent on nothing,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,such_a_waste_of_time,Guilty,Juror,Frustrated
 Page # 2 - Starting line # 4,"I guess the fastest way is to find out who's voting not guilty. All those voting not guilty, please raise your hands. Still the same, one two three not guilty, nine guilty","Gonzalez Canche, Manuel S",31/08/2021,Actor_7,no_changes_3_not_guilty,Guilty,Foreman,Not aggressive
 Page # 2 - Starting line # 8,"Pardon, no, I vote not guilty","Gonzalez Canche, Manuel S",31/08/2021,Actor_2,I_change_to_not_guilty,Not Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 9,". Oh, what are we talking about” I mean we're all going crazy in here or something? ","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,what_do_you_mean/talk_about?,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 9,"The kid is guilty, why don't you listen to the facts? Tell them will ya (Actor 3)? This is gonna be a joke","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,kid_guilty_listen_facts,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 12,"The board is eight to four, favor of guilty","Gonzalez Canche, Manuel S",31/08/2021,Actor_7,one_change_four_not_guilty,Guilty,Foreman,Not aggressive
 Page # 2 - Starting line # 13,"Now what is this? Love-your-under-privileged-brother week or something? I want you [to Actor 2] to get up and tell me why you changed you come on now, give your reasons.","Gonzalez Canche, Manuel S",31/08/2021,Actor_8, Love-your-under-privileged-brother_week,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 15,"I don't have to defend my decision to you, there is a reasonable doubt in my mind","Gonzalez Canche, Manuel S",31/08/2021,Actor_2,there_is_enough_doubt,Not Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 16,What reasonable doubt? That's nothing but words,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8, little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 16,"yeah look at this (knife), the kid you just decided isn't guilty was seen ramming this (knife) into his father. Now, what about this Mr. reasonable doubt?","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,kid_guilty_he_used_this_knife,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 19,"That's not the knife, don't you (Actor 8) remember","Gonzalez Canche, Manuel S",31/08/2021,Actor_11,that’s_not_the_knife,Not Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 21,"I'm telling, you this is the craziest. I mean what are we supposed to believe","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,what_are_we_supposed_to_believe?,Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 21,"I mean you are you sitting here and you are pulling stories out thin air, you know?","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,twisting_facts,Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 23,"Look (directed to Actor 4), now what about the old man? Are we supposed to believe that he didn't get up and run to his door and see the kid tearing down the steps seconds after the killing?","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,old_man_saw_him,Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 25,"He's just saying so to be important, right” I mean what's the point…","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,old_man_wants_to_be_important?,Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 28,"Yeah, I know Baltimore assertion again now and pop-ups all our bases for all what we are looking here","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,twisting_facts,Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 30,Did your old man say he ran to the door,"Gonzalez Canche, Manuel S",31/08/2021,Actor_6,did_old_man_run?,Not Guilty,Juror,Not aggressive
 Page # 2 - Starting line # 31,"Ran, walk, what's the difference, he got on. I mean he got there","Gonzalez Canche, Manuel S",31/08/2021,Actor_10,little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 2 - Starting line # 33,"He said he ran, at least I think he did","Gonzalez Canche, Manuel S",31/08/2021,Actor_12,did_old_man_run?,Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 1,I don't remember what he said but I don't see how he could have run to the door,"Gonzalez Canche, Manuel S",31/08/2021,Actor_6,did_old_man_run?,Not Guilty,Juror,Firm
 Page # 3 - Starting line # 2,"He said he went from his bedroom to the front door, now isn't that enough","Gonzalez Canche, Manuel S",31/08/2021,Actor_3,little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 3,Where was the bedroom,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,did_old_man_run?,Not Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 6,"Mr. Foreman [to Actor 7], I'd like to see a diagram of the apartment","Gonzalez Canche, Manuel S",31/08/2021,Actor_4,did_old_man_run?,Not Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 8,You're [Actor 4] the only one in this room who wants to see exhibits all the time,"Gonzalez Canche, Manuel S",31/08/2021,Actor_5,little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 9,I want to see this one too,"Gonzalez Canche, Manuel S",31/08/2021,Actor_6,did_old_man_run?,Not Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 10,I'd like to stop wasting time,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,such_a_waste_of_time,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 11,We're gonna start wading through all that nonsense about where the party was rad,"Gonzalez Canche, Manuel S",31/08/2021,Actor_3,jurors_go_off_every_which_way,Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 12,but I like to find out of an old man who drags one foot when he walks cuz he had a stroke last year can get from his bedroom to his front door in 15 seconds,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,did_old_man_run?,Not Guilty,Juror,Confrontational
 Page # 3 - Starting line # 15,He said 20 seconds ,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,did_old_man_run?,Guilty,Juror,Not aggressive
 Page # 3 - Starting line # 16,He said 15,"Gonzalez Canche, Manuel S",31/08/2021,Actor_4,did_old_man_run?,Not Guilty,Juror,Confrontational
 Page # 3 - Starting line # 17,"He said 20 seconds, ","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,did_old_man_run?,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 17,what are you trying to destroy?,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,twisting_facts,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 17,"He said 20 seconds, what are you trying to destroy?","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,little_details_dont_matter,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 18,He said 15,"Gonzalez Canche, Manuel S",31/08/2021,Actor_11,did_old_man_run?,Not Guilty,Juror,Firm
 Page # 3 - Starting line # 19,How does he know how long 15 seconds is? You can't judge a thing like that?,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,how_could_he_know?,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 20,"He said 15 seconds, he was very positive about it","Gonzalez Canche, Manuel S",31/08/2021,Actor_11,did_old_man_run?,Not Guilty,Juror,Firm
 Page # 3 - Starting line # 21,half the time he was confused,"Gonzalez Canche, Manuel S",31/08/2021,Actor_8,half_the_time_was_confused,Guilty,Juror,Aggressive
 Page # 3 - Starting line # 21,"He was an old man, half the time he was confused, how can he be positive about anything?","Gonzalez Canche, Manuel S",31/08/2021,Actor_8,how_could_he_know?,Doubtful,Juror,Surprised
